locId,countryCode,subnational1,subnational2,latitude,longitude,name,lastVisit,speciesCount
L31385106,SG,SG-,,1.3174989,103.8161109,Fragrant Garden,2024-12-10 09:11,84
L35997758,SG,SG-,,1.3574892,103.7688196,Fuyong Interim Park,2025-01-06 18:17,26
L3884490,SG,SG-,,1.281433,103.8636786,Gardens by the Bay,2025-01-12 15:13,211
L8095841,SG,SG-,,1.321125,103.8913235,Geylang,2024-08-31 13:59,20
L22414207,SG,SG-,,1.3101022,103.7861386,Ghim Moh Block 18,2024-12-23 17:19,24
L6008975,SG,SG-,,1.3232563,103.8327125,Goldhill Ave / Malcolm Road: forest patch,2025-01-08 07:35,113
L7898655,SG,SG-,,1.4093995,103.869621,Hampstead Wetlands Park (formerly Baker St. pond),2025-01-11 09:25,132
L6432873,SG,SG-,,1.2758965,103.8155222,Henderson Waves,2025-01-08 16:15,144
L1456256,SG,SG-,,1.3490121,103.7754245,Hindhede Nature Park,2025-01-13 08:37,178
L24001523,SG,SG-,,1.348514,103.771576,Hindhede Walk and Rail Corridor Central,2024-12-07 05:20,58
L22403114,SG,SG-,,1.3119047,103.7927411,Holland Drive CP,2025-01-11 18:01,15
L19769371,SG,SG-,,1.3266308,103.7854171,Holland Green Linear Park,2025-01-02 16:00,99
L8045901,SG,SG-,,1.3283429,103.7858504,Holland Plain,2025-01-05 07:34,146
L7577652,SG,SG-,,1.2866322,103.8466385,Hong Lim Park,2024-10-31 10:10,25
L6001893,SG,SG-,,1.278994,103.8016981,Hort Park,2024-12-29 09:16,101
L16998287,SG,SG-,,1.3705643,103.8888767,Hougang Ave 10,2024-09-14 14:29,39
L16817231,SG,SG-,,1.2821739,103.7997507,Hyderabad Road area (off Alexandra Road),2023-07-23 07:41,45
L38002878,SG,SG-,,1.2556165,103.8159453,Imbiah nature trial,2024-12-19 09:46,9
L9434875,SG,SG-,,1.3101569,103.8600868,Jalan Besar Sports Centre,2024-12-26 16:40,32
L22423468,SG,SG-,,1.3354046,103.8330424,Jalan Mashhor Horse Stable,2023-04-06 18:00,6
L13900057,SG,SG-,,1.4145614,103.78814,Jalan Ulu Sembawang,2025-01-08 17:06,129
L13958767,SG,SG-,,1.3156828,103.8758899,James Cook University Singapore Campus,2023-12-01 08:10,43
L24163965,SG,SG-,,1.4013788,103.9679039,Jelutong Campsite,2024-05-12 13:35,5
L6038804,SG,SG-,,1.4296863,103.6769915,Johor Straits,2024-05-05 13:15,47
L1322316,SG,SG-,,1.3177282,103.7068176,Jurong Bird Park (please do NOT report captive species),2024-04-23 12:24,113
L16928368,SG,SG-,,1.3374868,103.7073783,Jurong Central Park,2024-08-13 16:09,29
L6001931,SG,SG-,,1.3384699,103.7079066,Jurong Central Park,2024-02-10 09:00,62
L13813612,SG,SG-,,1.3462967,103.7283612,Jurong East Canal / Jurong River,2024-11-29 13:05,38
L6001945,SG,SG-,,1.3526765,103.6928294,Jurong Eco-Garden,2024-09-19 13:35,124
L6001951,SG,SG-,,1.2709959,103.6854243,Jurong Island (restricted access),2021-03-12 00:00,51
L17696365,SG,SG-,,1.343921,103.7227821,Jurong Lake Floating Wetland,2025-01-04 18:59,104
L3267940,SG,SG-,,1.3310425,103.7274706,Jurong Lake Gardens (inc. Chinese Garden and Japanese Garden),2025-01-12 17:00,228
L6008569,SG,SG-,,1.3233393,103.7328029,Jurong River at Penjuru,2023-12-04 12:44,27
L6008579,SG,SG-,,1.3398478,103.6983633,Jurong West,2024-05-05 16:00,28
L12586094,SG,SG-,,1.3063726,103.8695529,Kallang Dragonboat Nursery Beach,2025-01-09 07:05,65
L36962079,SG,SG-,,1.32503,103.8672781,Kallang River,2024-11-29 08:07,10
L25998321,SG,SG-,,1.3558322,103.8519192,Kallang River - Bishan Depot Side,2024-08-14 15:16,45
L13324659,SG,SG-,,1.3372951,103.8637345,"Kallang River, Potong Pasir block 115",2024-10-29 09:06,55
L13492311,SG,SG-,,1.3061569,103.8669766,Kallang Riverside Park,2024-12-26 17:15,77
L38236817,SG,SG-,,1.3743287,103.8402736,Kebun Baru Birdsinging Club,2024-11-09 10:00,3
L35078918,SG,SG-,,1.2858592,103.7890634,Kent Ridge Carpark A,2024-11-21 18:26,31
L5878876,SG,SG-,,1.2829977,103.7914353,Kent Ridge Park,2025-01-05 10:40,158
L8437062,SG,SG-,,1.3028859,103.7694118,"Kent Vale, National University of Singapore",2024-11-20 11:33,54
L6008595,SG,SG-,,1.2654183,103.8339543,Keppel Harbour,2024-02-17 15:40,36
L6002063,SG,SG-,,1.4369079,103.8475049,Khatib Bongsu,2024-10-09 08:09,159
L13492151,SG,SG-,,1.4332773,103.8439103,"Khatib Bongsu Park Connector, Yishun",2022-04-24 18:00,42
L6021430,SG,SG-,,1.439066,103.7379366,Kranji Dam/Kranji Reservoir Park,2024-12-09 11:48,158
L1074623,SG,SG-,,1.4182693,103.72886,Kranji Marsh,2025-01-12 08:22,246
L15650701,SG,SG-,,1.4201701,103.7201375,Kranji Marshes Carpark,2025-01-11 11:20,117
L6020593,SG,SG-,,1.4248333,103.7280983,Kranji Sanctuary Golf Course,2025-01-05 07:05,129
L7948299,SG,SG-,,1.4383551,103.7442875,Kranji Way Fields,2024-04-24 11:03,35
L8219833,SG,SG-,,1.2228872,103.8617175,Kusu Island,2024-10-04 12:32,92
L4578069,SG,SG-,,1.2670903,103.8025081,Labrador Nature Reserve,2025-01-06 12:55,146
L6008960,SG,SG-,,1.2235391,103.8538939,Lazarus Island,2024-11-14 18:11,93
L8559720,SG,SG-,,1.3013912,103.7721935,"Lee Kong Chian Museum, Kent RIdge Crescent",2024-12-25 14:28,24
L5929758,SG,SG-,,1.4303271,103.7176538,Lim Chu Kang Lane 3,2024-11-11 07:32,175
L14925275,SG,SG-,,1.4166645,103.7940078,Lor Lada Hitam,2024-05-18 00:10,85
L16755335,SG,SG-,,1.3406983,103.8230397,Lornie PCN,2024-08-24 06:45,69
L14356101,SG,SG-,,1.4145252,103.7747583,Lorong Asrama,2024-04-15 09:55,22
L3901781,SG,SG-,,1.3957264,103.9257288,Lorong Halus Wetland (inc. Serangoon Reservoir and former 'Serangoon'),2025-01-12 09:03,262
L948606,SG,SG-,,1.3707557,103.8261109,Lower Peirce Reservoir Park,2025-01-13 15:16,164
L9789618,SG,SG-,,1.4105465,103.8333059,Lower Seletar Reservoir Park,2024-10-05 10:00,124
L6048184,SG,SG-,,1.3778601,103.9719915,Loyang,2023-12-20 15:06,62
L18484190,SG,SG-,,1.3917217,103.9722013,Loyang Rock,2024-05-24 16:45,39
L1203001,SG,SG-,,1.3416843,103.8324308,MacRitchie Reservoir Park,2025-01-05 14:48,213
L10225510,SG,SG-,,1.3028148,103.8598966,Malay Heritage Center,2025-01-10 09:35,21
L1372063,SG,SG-,,1.437649,103.7508984,Mandai Mudflats,2024-08-03 16:05,111
L6009015,SG,SG-,,1.283263,103.858754,Marina Bay Sands,2024-12-28 18:15,76
L36022855,SG,SG-,,1.2858825,103.8590844,"Marina Bay Sands, Singapore",2024-11-19 15:57,19
L6668304,SG,SG-,,1.2817292,103.8768321,Marina East (Gardens by the Bay: Bay East / Marina Barrage),2025-01-12 14:41,245
L7863219,SG,SG-,,1.2754265,103.8698598,Marina South Promenade,2024-12-25 11:15,127
L12922096,SG,SG-,,1.4377513,103.769593,Marsiling Park,2024-12-01 14:36,92
L5984556,SG,SG-,,1.3415279,103.7803611,Mayfair Park,2022-12-03 18:16,15
L8109304,SG,SG-,,1.2870246,103.8546136,Merlion,2024-12-28 17:32,53
L5087035,SG,SG-,,1.2933533,103.861514,Millenia Tower,2024-06-14 11:00,26
L30043111,SG,SG-,,1.4172399,103.8480841,Miltonia residences,2024-03-24 00:00,18
L948628,SG,SG-,,1.2724927,103.8189812,Mount Faber Park,2025-01-05 10:41,177
L8099321,SG,SG-,,1.3067858,103.883194,Mountbatten,2024-11-09 10:00,48
L12656916,SG,SG-,,1.4022319,103.670164,Murai Reservoir (restricted access),2010-04-20 00:00,10
L14356313,SG,SG-,,1.3201133,103.9722622,NSRCC Tanah Merah,2023-01-01 10:20,25
L13083545,SG,SG-,,1.3066914,103.7706077,NUS High Boarding School,2024-08-08 15:22,59
L1479678,SG,SG-,,1.3483615,103.6831284,Nanyang Technological University including National Institute of Education,2024-12-13 08:19,158
L6056302,SG,SG-,,1.2961558,103.776421,National University Singapore including National University Hospital,2024-12-06 08:23,93
L20741695,SG,SG-,,1.4339654,103.7242129,Neo Tiew Crescent -- Private Fish Farm Pond,2025-01-01 10:26,88
L8128508,SG,SG-,,1.4207219,103.7231171,Neo Tiew Harvest Lane,2025-01-05 11:15,189
L14356208,SG,SG-,,1.4148368,103.7188218,Neo Tiew Lane 1,2024-01-11 18:07,94
L22413637,SG,SG-,,1.4539231,103.834759,OHH Nursery,2023-04-09 09:39,63
L13093337,SG,SG-,,1.3301783,103.8389647,Old Police Academy,2024-06-26 17:40,21
L5896554,SG,SG-,,1.3811207,103.8179255,Old Upper Thomson Road,2024-10-17 20:56,99
L38181589,SG,SG-,,1.3403278,103.8754803,Open lawn
L6056403,SG,SG-,,1.3010124,103.8397157,Orchard Road,2024-11-23 07:11,58
L15315604,SG,SG-,,1.413815,103.7407303,Pang Sua Canal,2024-07-07 19:19,75
L7737237,SG,SG-,,1.3001407,103.860566,"Park Royal, Beach Road.",2024-10-17 13:25,45
L12289178,SG,SG-,,1.2850018,103.7783254,Pasir Panjang Wholesale Centre,2005-10-22 00:00,4
L927973,SG,SG-,,1.3874538,103.9339815,Pasir Ris Farmway 1,2024-12-20 09:03,163
L26266066,SG,SG-,,1.3873094,103.9394304,Pasir Ris Farmway 1 Park Connector,2024-12-29 10:51,92
L5639234,SG,SG-,,1.3878538,103.930428,Pasir Ris Farmway 3 (inc. Pasir Ris Farmway 2),2025-01-09 17:00,147
L1459790,SG,SG-,,1.3797221,103.9499173,Pasir Ris Park,2025-01-12 17:17,225
L16514108,SG,SG-,,1.3813701,103.9659566,Pasir Ris Park (East End),2024-06-09 12:05,54
L12595655,SG,SG-,,1.3778759,103.9525388,Pasir Ris Park Mangrove Forest,2025-01-12 17:32,138
L17917499,SG,SG-,,1.3822865,103.948074,Pasir Ris Park--Carpark D Area,2025-01-04 11:10,93
L7115036,SG,SG-,,1.3702577,103.9527001,Pasir Ris Town Park,2025-01-12 17:16,150
L9243675,SG,SG-,,1.2846167,103.8396973,Pearl's Hill City Park,2024-10-02 09:59,59
L13091961,SG,SG-,,1.3245197,103.8842461,Pelton Canal,2024-11-29 16:25,49
L16921801,SG,SG-,,1.3827443,103.7327599,Peng siang river,2024-10-15 17:15,76
L16965831,SG,SG-,,1.3504035,103.8311722,"Petai Trail, MacRitchie",2024-12-21 05:15,107
L6009049,SG,SG-,,1.3783749,103.664031,Poyan Reservoir (restricted access),2024-05-21 07:29,104
L6002092,SG,SG-,,1.225607,103.750087,Pulau Hantu,2024-11-25 10:00,71
L6130453,SG,SG-,,1.2152929,103.7865758,Pulau Jong / Junk Island,2018-03-03 14:40,4
L6002103,SG,SG-,,1.1867725,103.7254214,Pulau Pawai,2016-06-25 00:00,4
L3901631,SG,SG-,,1.4237846,103.885088,Pulau Punggol,2024-08-08 06:50,202
L14356537,SG,SG-,,1.2166372,103.706445,Pulau Salu,2001-02-04 00:00,5
L10268543,SG,SG-,,1.4047002,103.9886823,Pulau Sekudu (Frog Island),2025-01-01 14:36,50
L4666622,SG,SG-,,1.2061754,103.7695169,Pulau Semakau,2024-10-18 15:00,99
L6002116,SG,SG-,,1.1723178,103.7355387,Pulau Senang,2020-03-16 00:00,4
L6002125,SG,SG-,,1.2092458,103.7206793,Pulau Sudong,2016-06-25 00:00,15
